combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
24,"(150,)",tanh,lbfgs,1000,0.9535714285714285,0.01184508853698358,0.9557545559257887,0.01088027321579909
23,"(150,)",tanh,lbfgs,500,0.9535714285714285,0.01184508853698358,0.9557545559257887,0.01088027321579909
31,"(200,)",tanh,lbfgs,500,0.9428571428571428,0.01010152544552211,0.9452601329313658,0.00914673915221424
32,"(200,)",tanh,lbfgs,1000,0.9428571428571428,0.01010152544552211,0.9452601329313658,0.00914673915221424
19,"(150,)",relu,lbfgs,500,0.9392857142857143,0.03406925719346237,0.9426012970330933,0.03159926406796545
20,"(150,)",relu,lbfgs,1000,0.9392857142857143,0.03406925719346237,0.9426012970330933,0.03159926406796545
16,"(100,)",tanh,lbfgs,1000,0.9392857142857143,0.015567496226930997,0.9425867828895946,0.013644684919207931
15,"(100,)",tanh,lbfgs,500,0.9392857142857143,0.015567496226930997,0.9425867828895946,0.013644684919207931
28,"(200,)",relu,lbfgs,1000,0.9321428571428572,0.015567496226930998,0.9357168848225135,0.014107281024507121
27,"(200,)",relu,lbfgs,500,0.9321428571428572,0.015567496226930998,0.9357168848225135,0.014107281024507121
11,"(100,)",relu,lbfgs,500,0.9321428571428572,0.006185895741317397,0.9356544901065449,0.0051293703056303555
12,"(100,)",relu,lbfgs,1000,0.9321428571428572,0.006185895741317397,0.9356544901065449,0.0051293703056303555
7,"(50,)",tanh,lbfgs,500,0.9285714285714286,0.026726124191242432,0.9334681530517868,0.023738785700753762
8,"(50,)",tanh,lbfgs,1000,0.9285714285714286,0.026726124191242432,0.9334681530517868,0.023738785700753762
4,"(50,)",relu,lbfgs,1000,0.925,0.015567496226930965,0.929512638416748,0.013181941996733487
3,"(50,)",relu,lbfgs,500,0.925,0.015567496226930965,0.929512638416748,0.013181941996733487
10,"(100,)",relu,adam,1000,0.875,0.0355352656109507,0.8868956996705393,0.029153344539226935
2,"(50,)",relu,adam,1000,0.8678571428571428,0.027432663385245016,0.881474358974359,0.022213457755534956
25,"(200,)",relu,adam,500,0.8535714285714285,0.027432663385245026,0.8691462858129525,0.023941583519456328
18,"(150,)",relu,adam,1000,0.8535714285714285,0.03406925719346234,0.8658666035551764,0.029925526926395548
26,"(200,)",relu,adam,1000,0.8464285714285714,0.006185895741317397,0.8642749704194852,0.006675662381895828
17,"(150,)",relu,adam,500,0.85,0.032732683535398856,0.8622963341621223,0.02809754464054694
1,"(50,)",relu,adam,500,0.8464285714285714,0.03092947870658706,0.8608781569307885,0.02755302394943858
9,"(100,)",relu,adam,500,0.8357142857142856,0.02369017707396715,0.8572725030454682,0.01966788326615935
6,"(50,)",tanh,adam,1000,0.55,0.01597191412499849,0.6818089933993399,0.009896271178466889
5,"(50,)",tanh,adam,500,0.55,0.01597191412499849,0.6818089933993399,0.009896271178466889
21,"(150,)",tanh,adam,500,0.5821428571428572,0.07098073897982783,0.6606962481962482,0.10282171782023343
22,"(150,)",tanh,adam,1000,0.5821428571428572,0.07098073897982783,0.6606962481962482,0.10282171782023343
30,"(200,)",tanh,adam,1000,0.5535714285714286,0.05187799659404985,0.546079133853424,0.08879786547110065
29,"(200,)",tanh,adam,500,0.5535714285714286,0.05187799659404985,0.546079133853424,0.08879786547110065
13,"(100,)",tanh,adam,500,0.5,0.046291004988627586,0.5262737733875256,0.14051329286770367
14,"(100,)",tanh,adam,1000,0.5,0.046291004988627586,0.5262737733875256,0.14051329286770367
