combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
26,"(50, 20)",relu,adam,1000,0.8465909090909092,0.01884445903611021,0.6412280701754386,0.027780855477391425
15,"(20, 20)",tanh,lbfgs,500,0.8352272727272727,0.024766471270117486,0.6119711042311661,0.05891398545383728
16,"(20, 20)",tanh,lbfgs,1000,0.8352272727272727,0.024766471270117486,0.6119711042311661,0.05891398545383728
33,"(100, 50)",relu,adam,500,0.8522727272727273,0.019682395540555408,0.6071428571428571,0.10309826235529031
34,"(100, 50)",relu,adam,1000,0.8522727272727273,0.019682395540555408,0.6071428571428571,0.10309826235529031
38,"(100, 50)",tanh,adam,1000,0.8295454545454546,0.019682395540555453,0.6031991744066048,0.05236531934207779
23,"(40, 30)",tanh,lbfgs,500,0.8181818181818182,0.08035304331665315,0.579201680672269,0.17252950785948706
24,"(40, 30)",tanh,lbfgs,1000,0.8181818181818182,0.08035304331665315,0.579201680672269,0.17252950785948706
32,"(50, 20)",tanh,lbfgs,1000,0.8181818181818181,0.027835110713445226,0.5657894736842105,0.07662548351683425
31,"(50, 20)",tanh,lbfgs,500,0.8181818181818181,0.027835110713445226,0.5657894736842105,0.07662548351683425
36,"(100, 50)",relu,lbfgs,1000,0.8181818181818182,0.04821182598999189,0.5536430481283423,0.11869479730921614
35,"(100, 50)",relu,lbfgs,500,0.8181818181818182,0.04821182598999189,0.5536430481283423,0.11869479730921614
25,"(50, 20)",relu,adam,500,0.8068181818181819,0.06527912098338667,0.5497337092731829,0.10997029917440224
18,"(40, 30)",relu,adam,1000,0.8125,0.051763827154228975,0.5326797385620915,0.13783723339191595
37,"(100, 50)",tanh,adam,500,0.8068181818181819,0.04685347301838251,0.5259502923976609,0.16430424995975418
17,"(40, 30)",relu,adam,500,0.8181818181818182,0.03593497341100433,0.5028011204481793,0.14345319711738527
8,"(20, 10)",tanh,lbfgs,1000,0.7840909090909091,0.046853473018382504,0.49941520467836253,0.10921434268443983
7,"(20, 10)",tanh,lbfgs,500,0.7840909090909091,0.046853473018382504,0.49941520467836253,0.10921434268443983
4,"(20, 10)",relu,lbfgs,1000,0.7840909090909091,0.05681818181818181,0.4904024767801857,0.16612741730374678
39,"(100, 50)",tanh,lbfgs,500,0.7784090909090909,0.02952359331083311,0.48080495356037145,0.05190446566308803
40,"(100, 50)",tanh,lbfgs,1000,0.7784090909090909,0.02952359331083311,0.48080495356037145,0.05190446566308803
30,"(50, 20)",tanh,adam,1000,0.8238636363636364,0.029523593310833162,0.4757518796992481,0.2784165830434806
20,"(40, 30)",relu,lbfgs,1000,0.7897727272727273,0.029523593310833162,0.47434640522875815,0.08955485697631473
19,"(40, 30)",relu,lbfgs,500,0.7897727272727273,0.029523593310833162,0.47434640522875815,0.08955485697631473
3,"(20, 10)",relu,lbfgs,500,0.7556818181818182,0.07934227297595989,0.4679061784897025,0.17650834912125535
2,"(20, 10)",relu,adam,1000,0.8125,0.04920598885138856,0.4617071524966261,0.1886977842217782
28,"(50, 20)",relu,lbfgs,1000,0.7897727272727273,0.033614089676702374,0.45889660211910854,0.14176293555167543
27,"(50, 20)",relu,lbfgs,500,0.7897727272727273,0.033614089676702374,0.45889660211910854,0.14176293555167543
12,"(20, 20)",relu,lbfgs,1000,0.7727272727272727,0.02783511071344518,0.4029464687359424,0.08783708656356935
11,"(20, 20)",relu,lbfgs,500,0.7727272727272727,0.02783511071344518,0.4029464687359424,0.08783708656356935
10,"(20, 20)",relu,adam,1000,0.8011363636363636,0.04920598885138856,0.38888888888888884,0.25458753860865774
29,"(50, 20)",tanh,adam,500,0.8125,0.029523593310833162,0.38786764705882354,0.24026093937194468
9,"(20, 20)",relu,adam,500,0.7784090909090909,0.07073806589766328,0.2519392372333549,0.19788793184904768
14,"(20, 20)",tanh,adam,1000,0.8125,0.029523593310833155,0.16666666666666666,0.28867513459481287
22,"(40, 30)",tanh,adam,1000,0.7897727272727272,0.009841197770277702,0.09375,0.16237976320958225
21,"(40, 30)",tanh,adam,500,0.7613636363636364,0.05904718662166626,0.029411764705882353,0.05094267081084933
5,"(20, 10)",tanh,adam,500,0.7954545454545454,0.0,0.0,0.0
6,"(20, 10)",tanh,adam,1000,0.7954545454545454,0.0,0.0,0.0
1,"(20, 10)",relu,adam,500,0.7954545454545454,0.0,0.0,0.0
13,"(20, 20)",tanh,adam,500,0.7954545454545454,0.0,0.0,0.0
