combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
26,"(100,)",relu,adam,1000,0.8352272727272728,0.01884445903611021,0.5788048552754435,0.016830826164409184
27,"(100,)",relu,adam,2000,0.8352272727272728,0.01884445903611021,0.5788048552754435,0.016830826164409184
35,"(100,)",tanh,lbfgs,1000,0.7954545454545454,0.055670221426890404,0.5678107032286599,0.055243464422215574
41,"(200,)",relu,lbfgs,1000,0.8125,0.051763827154228975,0.5653186274509804,0.12954695061441934
42,"(200,)",relu,lbfgs,2000,0.8125,0.051763827154228975,0.5653186274509804,0.12954695061441934
40,"(200,)",relu,lbfgs,100,0.8352272727272728,0.01884445903611021,0.5462875939849624,0.08583398915820198
45,"(200,)",tanh,adam,2000,0.8011363636363635,0.05420109098959919,0.5331699346405228,0.11881804221675243
44,"(200,)",tanh,adam,1000,0.8011363636363635,0.05420109098959919,0.5331699346405228,0.11881804221675243
46,"(200,)",tanh,lbfgs,100,0.8181818181818181,0.04545454545454547,0.5277777777777777,0.12147816447594376
36,"(100,)",tanh,lbfgs,2000,0.7840909090909091,0.05904718662166627,0.5131888544891641,0.10773694882156107
33,"(100,)",tanh,adam,2000,0.8011363636363636,0.03725817343353411,0.5100511695906432,0.0743072275105804
32,"(100,)",tanh,adam,1000,0.8011363636363636,0.03725817343353411,0.5100511695906432,0.0743072275105804
25,"(100,)",relu,adam,100,0.8011363636363635,0.05653337710833067,0.5077540106951872,0.11734373878774315
47,"(200,)",tanh,lbfgs,1000,0.8125,0.018844459036110258,0.5009803921568627,0.0741153127550244
48,"(200,)",tanh,lbfgs,2000,0.8125,0.018844459036110258,0.5009803921568627,0.0741153127550244
11,"(25,)",tanh,lbfgs,1000,0.7954545454545454,0.03593497341100433,0.49583333333333335,0.13456462718295953
12,"(25,)",tanh,lbfgs,2000,0.7954545454545454,0.03593497341100433,0.49583333333333335,0.13456462718295953
14,"(50,)",relu,adam,1000,0.7613636363636364,0.03768891807222042,0.4883949002942138,0.06273325143888742
23,"(50,)",tanh,lbfgs,1000,0.7840909090909092,0.03409090909090909,0.4881148950808393,0.05932741684092197
21,"(50,)",tanh,adam,2000,0.7954545454545454,0.042518833940612975,0.4859477124183007,0.08672084486442544
18,"(50,)",relu,lbfgs,2000,0.8011363636363638,0.04920598885138856,0.4848214285714285,0.198340934442465
17,"(50,)",relu,lbfgs,1000,0.8011363636363638,0.04920598885138856,0.4848214285714285,0.198340934442465
15,"(50,)",relu,adam,2000,0.7556818181818182,0.03361408967670233,0.4818159529257927,0.05971892006201307
24,"(50,)",tanh,lbfgs,2000,0.7670454545454546,0.06301441196823533,0.4750714168199697,0.07955368502673717
34,"(100,)",tanh,lbfgs,100,0.7670454545454546,0.05653337710833072,0.4733187134502924,0.05791370081930065
20,"(50,)",tanh,adam,1000,0.7784090909090908,0.04057629788944802,0.44348739495798317,0.11283742326952807
30,"(100,)",relu,lbfgs,2000,0.7954545454545454,0.10538202835790571,0.4226475279106858,0.2952384834345061
43,"(200,)",tanh,adam,100,0.8011363636363636,0.04057629788944802,0.4095238095238095,0.10816968277714806
29,"(100,)",relu,lbfgs,1000,0.7840909090909091,0.09161656532157443,0.38859180035650626,0.24914907813254372
16,"(50,)",relu,lbfgs,100,0.7954545454545454,0.04821182598999187,0.37857142857142856,0.15303060918306105
22,"(50,)",tanh,lbfgs,100,0.7897727272727272,0.009841197770277702,0.3769607843137255,0.1247864380958175
13,"(50,)",relu,adam,100,0.7102272727272728,0.049205988851388556,0.3357789855072464,0.08628719415736819
28,"(100,)",relu,lbfgs,100,0.75,0.0770719316264235,0.30362448009506837,0.1828825462946087
8,"(25,)",tanh,adam,1000,0.7840909090909091,0.011363636363636354,0.25306372549019607,0.18281894618658945
9,"(25,)",tanh,adam,2000,0.7840909090909091,0.011363636363636354,0.25306372549019607,0.18281894618658945
10,"(25,)",tanh,lbfgs,100,0.7386363636363636,0.05904718662166626,0.24255952380952378,0.17083307408309514
37,"(200,)",relu,adam,100,0.6931818181818182,0.08272852146909677,0.12018280632411067,0.07272030353997791
38,"(200,)",relu,adam,1000,0.6931818181818182,0.08272852146909677,0.12018280632411067,0.07272030353997791
39,"(200,)",relu,adam,2000,0.6931818181818182,0.08272852146909677,0.12018280632411067,0.07272030353997791
19,"(50,)",tanh,adam,100,0.75,0.05330017908890261,0.10633484162895929,0.1257845305331913
5,"(25,)",relu,lbfgs,1000,0.7613636363636364,0.025409863380679402,0.08012820512820512,0.08025630785608279
4,"(25,)",relu,lbfgs,100,0.7613636363636364,0.025409863380679402,0.08012820512820512,0.08025630785608279
6,"(25,)",relu,lbfgs,2000,0.7613636363636364,0.025409863380679402,0.08012820512820512,0.08025630785608279
31,"(100,)",tanh,adam,100,0.75,0.042518833940612975,0.06971153846153846,0.07045361004688867
1,"(25,)",relu,adam,100,0.625,0.08579357312807671,0.058333333333333334,0.05951190357119042
3,"(25,)",relu,adam,2000,0.625,0.08579357312807671,0.058333333333333334,0.05951190357119042
2,"(25,)",relu,adam,1000,0.625,0.08579357312807671,0.058333333333333334,0.05951190357119042
7,"(25,)",tanh,adam,100,0.784090909090909,0.011363636363636354,0.041666666666666664,0.07216878364870322
