combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
28,"(48, 48, 32)",relu,lbfgs,1000,0.9264705882352942,0.01039862913509629,0.9285641384539118,0.010127274976208297
27,"(48, 48, 32)",relu,lbfgs,500,0.9264705882352942,0.01039862913509629,0.9285641384539118,0.010127274976208297
20,"(32, 32, 16)",relu,lbfgs,1000,0.9227941176470589,0.012193473493953683,0.9253364389233955,0.011281595868994007
19,"(32, 32, 16)",relu,lbfgs,500,0.9227941176470589,0.012193473493953683,0.9253364389233955,0.011281595868994007
35,"(64, 64, 32)",relu,lbfgs,500,0.9191176470588235,0.007352941176470618,0.9220165194062928,0.0066336527091316756
36,"(64, 64, 32)",relu,lbfgs,1000,0.9191176470588235,0.007352941176470618,0.9220165194062928,0.0066336527091316756
11,"(30, 30, 20)",relu,lbfgs,500,0.9117647058823529,0.04159451654038516,0.9166013702778408,0.03740526070262325
12,"(30, 30, 20)",relu,lbfgs,1000,0.9117647058823529,0.04159451654038516,0.9166013702778408,0.03740526070262325
8,"(10, 10, 10)",tanh,lbfgs,1000,0.9080882352941176,0.03658042048186105,0.909966100868208,0.03332246468278216
39,"(64, 64, 32)",tanh,lbfgs,500,0.9080882352941176,0.03183916925678087,0.9099074220360015,0.030499889686792285
40,"(64, 64, 32)",tanh,lbfgs,1000,0.9080882352941176,0.03183916925678087,0.9099074220360015,0.030499889686792285
7,"(10, 10, 10)",tanh,lbfgs,500,0.8933823529411765,0.053403820023286586,0.8994412105467826,0.046318200553195056
3,"(10, 10, 10)",relu,lbfgs,500,0.8897058823529411,0.016441676305145505,0.8909364459875969,0.018418387661195176
4,"(10, 10, 10)",relu,lbfgs,1000,0.8897058823529411,0.016441676305145505,0.8909364459875969,0.018418387661195176
24,"(32, 32, 16)",tanh,lbfgs,1000,0.8823529411764706,0.027512186667455474,0.8892172360337516,0.024447031585599622
23,"(32, 32, 16)",tanh,lbfgs,500,0.8823529411764706,0.027512186667455474,0.8892172360337516,0.024447031585599622
32,"(48, 48, 32)",tanh,lbfgs,1000,0.875,0.026511406437235197,0.8795403283646995,0.02449767452359313
31,"(48, 48, 32)",tanh,lbfgs,500,0.875,0.026511406437235197,0.8795403283646995,0.02449767452359313
15,"(30, 30, 20)",tanh,lbfgs,500,0.8713235294117647,0.02410822986875736,0.8779082409219395,0.02354246432229409
16,"(30, 30, 20)",tanh,lbfgs,1000,0.8713235294117647,0.02410822986875736,0.8779082409219395,0.02354246432229409
33,"(64, 64, 32)",relu,adam,500,0.8455882352941176,0.024386946987907356,0.8494799557833117,0.02265762639024724
34,"(64, 64, 32)",relu,adam,1000,0.8455882352941176,0.024386946987907356,0.8494799557833117,0.02265762639024724
2,"(10, 10, 10)",relu,adam,1000,0.8161764705882353,0.12586207918105655,0.7483445966360343,0.25521448047110806
1,"(10, 10, 10)",relu,adam,500,0.8161764705882353,0.12586207918105655,0.7483445966360343,0.25521448047110806
9,"(30, 30, 20)",relu,adam,500,0.7205882352941176,0.15667114524016557,0.7308793823064972,0.15502184814082468
10,"(30, 30, 20)",relu,adam,1000,0.7205882352941176,0.15667114524016557,0.7308793823064972,0.15502184814082468
18,"(32, 32, 16)",relu,adam,1000,0.7683823529411765,0.14974567540011988,0.6470270707943105,0.3741801616216701
17,"(32, 32, 16)",relu,adam,500,0.7683823529411765,0.14974567540011988,0.6470270707943105,0.3741801616216701
14,"(30, 30, 20)",tanh,adam,1000,0.49264705882352944,0.012735667702712311,0.5864359521075939,0.0634670052632531
13,"(30, 30, 20)",tanh,adam,500,0.49264705882352944,0.012735667702712311,0.5864359521075939,0.0634670052632531
38,"(64, 64, 32)",tanh,adam,1000,0.5477941176470589,0.05635922689983785,0.5488780810129695,0.15237948838703608
37,"(64, 64, 32)",tanh,adam,500,0.5477941176470589,0.05635922689983785,0.5488780810129695,0.15237948838703608
5,"(10, 10, 10)",tanh,adam,500,0.5147058823529411,0.03602190798210554,0.3774285014177198,0.03370989284068371
6,"(10, 10, 10)",tanh,adam,1000,0.5147058823529411,0.03602190798210554,0.3774285014177198,0.03370989284068371
29,"(48, 48, 32)",tanh,adam,500,0.5183823529411765,0.054406796275546836,0.34187653305300364,0.1091423781706472
30,"(48, 48, 32)",tanh,adam,1000,0.5183823529411765,0.054406796275546836,0.34187653305300364,0.1091423781706472
21,"(32, 32, 16)",tanh,adam,500,0.5183823529411764,0.05731050466220549,0.15846631205673758,0.17609223445637298
22,"(32, 32, 16)",tanh,adam,1000,0.5183823529411764,0.05731050466220549,0.15846631205673758,0.17609223445637298
26,"(48, 48, 32)",relu,adam,1000,0.5110294117647058,0.006367833851356144,0.0,0.0
25,"(48, 48, 32)",relu,adam,500,0.5110294117647058,0.006367833851356144,0.0,0.0
