combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
1,"(10, 10)",relu,adam,1000,0.7840909090909092,0.061195054626528446,0.4244883040935672,0.19577856250644077
2,"(10, 10)",relu,lbfgs,1000,0.8125,0.018844459036110258,0.37280701754385964,0.2403492764705308
3,"(10, 10)",relu,sgd,1000,0.7670454545454545,0.03725817343353406,0.07894736842105263,0.13674085322912188
4,"(10, 10)",tanh,adam,1000,0.6875,0.08095344800440343,0.029411764705882353,0.05094267081084933
5,"(10, 10)",tanh,lbfgs,1000,0.7102272727272727,0.10084226903010712,0.22575757575757577,0.2608657972738623
6,"(10, 10)",tanh,sgd,1000,0.7954545454545454,0.0,0.0,0.0
7,"(10, 10)",logistic,adam,1000,0.7329545454545455,0.07429941381035236,0.0,0.0
8,"(10, 10)",logistic,lbfgs,1000,0.7727272727272727,0.035934973411004316,0.16666666666666666,0.2886751345948129
9,"(10, 10)",logistic,sgd,1000,0.7954545454545454,0.0,0.0,0.0
10,"(100, 10)",relu,adam,1000,0.7784090909090909,0.03361408967670237,0.43189033189033194,0.020608667544601972
11,"(100, 10)",relu,lbfgs,1000,0.7897727272727273,0.05176382715422896,0.3840852130325814,0.24821758934142737
12,"(100, 10)",relu,sgd,1000,0.6193181818181818,0.13671828881268142,0.058823529411764705,0.10188534162169866
13,"(100, 10)",tanh,adam,1000,0.7840909090909092,0.04097217358481806,0.4757278669043375,0.034540384659615606
14,"(100, 10)",tanh,lbfgs,1000,0.8068181818181819,0.025409863380679455,0.561905432029271,0.06106360810100492
15,"(100, 10)",tanh,sgd,1000,0.7215909090909091,0.024766471270117486,0.10238095238095238,0.11134612334371355
16,"(100, 10)",logistic,adam,1000,0.7784090909090908,0.01884445903611021,0.46246130030959753,0.06623302491734623
17,"(100, 10)",logistic,lbfgs,1000,0.7272727272727273,0.02783511071344518,0.395976353928299,0.12683413855339482
18,"(100, 10)",logistic,sgd,1000,0.7954545454545454,0.0,0.0,0.0
19,"(1000, 10)",relu,adam,1000,0.8181818181818181,0.042518833940612975,0.5263035038576834,0.11011474394565281
20,"(1000, 10)",relu,lbfgs,1000,0.7897727272727273,0.01884445903611025,0.500328947368421,0.08111271162730675
21,"(1000, 10)",relu,sgd,1000,0.7954545454545454,0.0,0.0,0.0
22,"(1000, 10)",tanh,adam,1000,0.7954545454545455,0.027835110713445226,0.4939849624060151,0.07396371722596662
23,"(1000, 10)",tanh,lbfgs,1000,0.7897727272727273,0.05176382715422897,0.518421052631579,0.12306676790620968
24,"(1000, 10)",tanh,sgd,1000,0.7784090909090909,0.029523593310833148,0.3863717551798047,0.13718118676330152
25,"(1000, 10)",logistic,adam,1000,0.8181818181818182,0.027835110713445226,0.4343137254901961,0.2604726871693953
26,"(1000, 10)",logistic,lbfgs,1000,0.8125,0.051763827154228975,0.5305964052287582,0.13837734395417803
27,"(1000, 10)",logistic,sgd,1000,0.7954545454545454,0.0,0.0,0.0
