combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
27,"(48, 48, 32)",relu,lbfgs,100,0.8522727272727273,0.059047186621666255,0.6140873015873016,0.15223245802850274
30,"(48, 48, 32)",tanh,adam,1000,0.8295454545454546,0.046853473018382504,0.6006578947368421,0.09131948650183296
18,"(32, 32, 16)",relu,adam,1000,0.8522727272727273,0.025409863380679406,0.5916666666666667,0.07592027982620247
11,"(30, 30, 20)",relu,lbfgs,100,0.8522727272727273,0.04953294254023493,0.5848214285714286,0.12650560102950675
20,"(32, 32, 16)",relu,lbfgs,1000,0.8068181818181819,0.061195054626528446,0.5814346472241209,0.11614604669900662
29,"(48, 48, 32)",tanh,adam,100,0.8409090909090909,0.01607060866333061,0.5755310457516339,0.03459856392570184
28,"(48, 48, 32)",relu,lbfgs,1000,0.8295454545454546,0.011363636363636354,0.5691176470588235,0.04019308931975426
36,"(64, 64, 32)",relu,lbfgs,1000,0.8181818181818182,0.042518833940612975,0.5631787802840434,0.10990497063620458
34,"(64, 64, 32)",relu,adam,1000,0.8181818181818181,0.039364791081110864,0.5435500515995872,0.07882870136096227
26,"(48, 48, 32)",relu,adam,1000,0.8352272727272728,0.043642873567435264,0.533531746031746,0.13801353973583794
12,"(30, 30, 20)",relu,lbfgs,1000,0.7897727272727273,0.024766471270117475,0.5298663324979114,0.0631569416193614
16,"(30, 30, 20)",tanh,lbfgs,1000,0.7897727272727273,0.05420109098959919,0.5243506493506493,0.08372420559357412
35,"(64, 64, 32)",relu,lbfgs,100,0.8125,0.024766471270117486,0.5220588235294118,0.054799497835732056
33,"(64, 64, 32)",relu,adam,100,0.8352272727272727,0.03361408967670237,0.5208683473389356,0.11059309883475793
10,"(30, 30, 20)",relu,adam,1000,0.8125,0.040576297889448026,0.5120614035087719,0.13762166194857717
24,"(32, 32, 16)",tanh,lbfgs,1000,0.8011363636363636,0.029523593310833162,0.4908088235294118,0.07594826566218235
15,"(30, 30, 20)",tanh,lbfgs,100,0.7840909090909091,0.03409090909090911,0.45734649122807014,0.06263288044129088
23,"(32, 32, 16)",tanh,lbfgs,100,0.7670454545454546,0.04057629788944801,0.4535056446821153,0.07929133753247398
38,"(64, 64, 32)",tanh,adam,1000,0.7386363636363636,0.056818181818181844,0.44300144300144306,0.09828842025751282
4,"(10, 10, 10)",relu,lbfgs,1000,0.8238636363636365,0.009841197770277702,0.4388888888888889,0.10584754935143141
32,"(48, 48, 32)",tanh,lbfgs,1000,0.7443181818181818,0.02952359331083311,0.42642211589580015,0.08281188523409794
19,"(32, 32, 16)",relu,lbfgs,100,0.7727272727272727,0.042518833940612975,0.4259920634920634,0.10648441860617773
40,"(64, 64, 32)",tanh,lbfgs,1000,0.7784090909090908,0.024766471270117486,0.42573529411764705,0.10101399831048803
31,"(48, 48, 32)",tanh,lbfgs,100,0.7329545454545454,0.07073806589766324,0.42275132275132277,0.04058238998739609
9,"(30, 30, 20)",relu,adam,100,0.7556818181818181,0.07073806589766327,0.4191017316017316,0.1912526679448115
22,"(32, 32, 16)",tanh,adam,1000,0.7727272727272727,0.04821182598999187,0.41729323308270677,0.19776087805965073
3,"(10, 10, 10)",relu,lbfgs,100,0.8181818181818181,0.027835110713445226,0.41538461538461535,0.14582734560826782
17,"(32, 32, 16)",relu,adam,100,0.7954545454545454,0.05567022142689041,0.40313607960666786,0.14760274878486135
25,"(48, 48, 32)",relu,adam,100,0.7897727272727273,0.0372581734335341,0.39464285714285713,0.09110643584874356
37,"(64, 64, 32)",tanh,adam,100,0.75,0.062241199716496165,0.3555194805194805,0.12818509120941352
39,"(64, 64, 32)",tanh,lbfgs,100,0.75,0.05081972676135889,0.34375,0.1670640517183251
14,"(30, 30, 20)",tanh,adam,1000,0.7613636363636364,0.025409863380679406,0.33044467787114845,0.19497494472256943
1,"(10, 10, 10)",relu,adam,100,0.7443181818181819,0.03361408967670233,0.32658668730650153,0.08442923524396964
2,"(10, 10, 10)",relu,adam,1000,0.7613636363636364,0.04097217358481806,0.29054487179487176,0.15362790007501753
8,"(10, 10, 10)",tanh,lbfgs,1000,0.7443181818181819,0.02476647127011744,0.2782937736498108,0.16735563340287946
7,"(10, 10, 10)",tanh,lbfgs,100,0.7727272727272727,0.042518833940612975,0.20361990950226244,0.2072082016625396
21,"(32, 32, 16)",tanh,adam,100,0.7613636363636362,0.03409090909090906,0.18333333333333332,0.14240006242195885
13,"(30, 30, 20)",tanh,adam,100,0.7386363636363636,0.04097217358481806,0.15616883116883118,0.1071344939671859
5,"(10, 10, 10)",tanh,adam,100,0.7897727272727272,0.009841197770277702,0.0,0.0
6,"(10, 10, 10)",tanh,adam,1000,0.7784090909090908,0.01884445903611021,0.0,0.0
