combo_id,hidden_layer_sizes,activation,solver,max_iter,cv_mean_accuracy,cv_std_accuracy,cv_mean_f1,cv_std_f1
30,"(50, 20)",relu,lbfgs,1000,0.8295454545454546,0.02540986338067944,0.6054827365728901,0.01340504634379461
39,"(100, 50)",relu,adam,1000,0.8352272727272728,0.01884445903611021,0.5641447368421053,0.06418689572726267
45,"(100, 50)",tanh,adam,1000,0.7954545454545454,0.01607060866333065,0.5243930905695611,0.0408455046559223
48,"(100, 50)",tanh,lbfgs,1000,0.8068181818181818,0.03768891807222047,0.5228070175438596,0.15664220551262956
17,"(20, 10)",relu,lbfgs,100,0.7784090909090908,0.06093071190206599,0.5120614035087719,0.07693431291793748
36,"(50, 20)",tanh,lbfgs,1000,0.8011363636363636,0.043642873567435285,0.5011111111111111,0.0649722308262048
18,"(20, 10)",relu,lbfgs,1000,0.7897727272727273,0.049205988851388556,0.5009803921568627,0.13099521461275504
47,"(100, 50)",tanh,lbfgs,100,0.8068181818181819,0.04097217358481807,0.49285714285714277,0.1039743121947526
15,"(20, 10)",relu,adam,1000,0.7784090909090908,0.051763827154228975,0.4798644338118022,0.10669483207723987
41,"(100, 50)",relu,lbfgs,100,0.8295454545454546,0.02540986338067944,0.44999999999999996,0.2640496586292477
27,"(50, 20)",relu,adam,1000,0.7840909090909091,0.03409090909090911,0.4498366013071895,0.11752751279158331
42,"(100, 50)",relu,lbfgs,1000,0.8295454545454546,0.02540986338067944,0.4388888888888889,0.2583781323162997
44,"(100, 50)",tanh,adam,100,0.7784090909090909,0.05420109098959919,0.4295639995128486,0.11373251498454513
35,"(50, 20)",tanh,lbfgs,100,0.7443181818181819,0.06698764842358863,0.4211309523809524,0.06908032374068548
38,"(100, 50)",relu,adam,100,0.7897727272727273,0.0372581734335341,0.38763736263736265,0.17609075772774327
33,"(50, 20)",tanh,adam,1000,0.7556818181818181,0.05653337710833071,0.3790849673202614,0.13201967239688991
16,"(20, 10)",relu,lbfgs,10,0.75,0.02783511071344518,0.352658371040724,0.09256122784550892
37,"(100, 50)",relu,adam,10,0.5454545454545454,0.05081972676135886,0.343380036928424,0.06322963644999159
19,"(20, 10)",tanh,adam,10,0.3409090909090909,0.01607060866333063,0.34065656565656566,0.015832749332744693
13,"(20, 10)",relu,adam,10,0.20454545454545456,0.0,0.33962264150943394,0.0
2,"(5, 5)",relu,adam,100,0.3011363636363636,0.033614089676702354,0.33541987871312573,0.022328421800006184
7,"(5, 5)",tanh,adam,10,0.22159090909090912,0.01884445903611022,0.3315723270440252,0.015603394081883284
1,"(5, 5)",relu,adam,10,0.22159090909090912,0.01884445903611022,0.3184953981592637,0.005299352225877197
29,"(50, 20)",relu,lbfgs,100,0.7613636363636364,0.0691223014806616,0.2956140350877193,0.19087162982089095
26,"(50, 20)",relu,adam,100,0.7045454545454546,0.057943403563554374,0.267194976076555,0.16333850042672865
21,"(20, 10)",tanh,adam,1000,0.7215909090909091,0.07769769506350761,0.26450216450216446,0.18706258361098133
8,"(5, 5)",tanh,adam,100,0.4261363636363636,0.09824782082835558,0.24687751160198076,0.1041526417570673
40,"(100, 50)",relu,lbfgs,10,0.7784090909090908,0.04920598885138855,0.2456367162249515,0.16482122201700314
12,"(5, 5)",tanh,lbfgs,1000,0.7556818181818182,0.04057629788944798,0.22878787878787882,0.15394267474432818
28,"(50, 20)",relu,lbfgs,10,0.6590909090909092,0.09775369621639349,0.2216660310195779,0.14329106396473323
32,"(50, 20)",tanh,adam,100,0.7443181818181818,0.051763827154228975,0.21501831501831503,0.12498681651687503
25,"(50, 20)",relu,adam,10,0.7159090909090908,0.03768891807222047,0.16964285714285715,0.06740923602920311
23,"(20, 10)",tanh,lbfgs,100,0.7329545454545454,0.06888838439194399,0.16666666666666666,0.16666666666666666
3,"(5, 5)",relu,adam,1000,0.7215909090909092,0.07934227297595986,0.16666666666666666,0.10206207261596575
24,"(20, 10)",tanh,lbfgs,1000,0.7159090909090908,0.04097217358481806,0.16132723112128144,0.17975771503543897
11,"(5, 5)",tanh,lbfgs,100,0.7556818181818182,0.05420109098959921,0.13333333333333333,0.1414213562373095
14,"(20, 10)",relu,adam,100,0.6363636363636364,0.1003609189355437,0.12179487179487179,0.08071720840822266
20,"(20, 10)",tanh,adam,100,0.7727272727272727,0.03214121732666126,0.05,0.08660254037844388
31,"(50, 20)",tanh,adam,10,0.7897727272727273,0.024766471270117475,0.05,0.08660254037844388
4,"(5, 5)",relu,lbfgs,10,0.7954545454545454,0.0,0.045454545454545456,0.07872958216222169
10,"(5, 5)",tanh,lbfgs,10,0.7840909090909091,0.019682395540555408,0.0,0.0
9,"(5, 5)",tanh,adam,1000,0.7954545454545454,0.0,0.0,0.0
6,"(5, 5)",relu,lbfgs,1000,0.7954545454545454,0.0,0.0,0.0
5,"(5, 5)",relu,lbfgs,100,0.7954545454545454,0.0,0.0,0.0
22,"(20, 10)",tanh,lbfgs,10,0.7727272727272727,0.039364791081110816,0.0,0.0
34,"(50, 20)",tanh,lbfgs,10,0.7897727272727272,0.009841197770277702,0.0,0.0
43,"(100, 50)",tanh,adam,10,0.7784090909090909,0.01884445903611021,0.0,0.0
46,"(100, 50)",tanh,lbfgs,10,0.7840909090909091,0.019682395540555408,0.0,0.0
